                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2331,                0.80759,                 1.1494,                0.78334,                0.75331,                0.80168,                0.45368,                 1.3801,                0.94654,                 1.2365,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2566,                 0.8111,                 1.1822,                0.83859,                  0.875,                 0.8665,                0.50857,                 1.3468,                0.94211,                 1.2145,               0.001307,               0.001307,               0.001307
                     37,                 1.2099,                0.74688,                 1.1297,                0.83399,                0.77083,                0.78338,                  0.458,                 1.4268,                  1.012,                 1.2832,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2216,                0.74746,                  1.135,                0.82029,                  0.875,                0.80098,                0.45393,                 1.3584,                0.94959,                 1.2027,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2243,                0.72605,                  1.125,                0.81309,                  0.875,                0.83137,                0.46487,                  1.459,                0.88232,                 1.2577,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1925,                0.73425,                 1.1439,                0.83871,                0.72917,                0.82743,                0.43046,                  1.423,                0.95151,                 1.2724,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.123,                0.72288,                 1.1118,                0.76263,                  0.875,                0.78417,                0.46362,                 1.4273,                0.90539,                 1.2882,               0.001208,               0.001208,               0.001208
                     42,                  1.162,                0.71534,                 1.1482,                0.87948,                0.91227,                0.85188,                0.48595,                 1.4285,                0.87707,                 1.3009,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1142,                0.66459,                 1.0969,                0.85318,                0.84755,                 0.8346,                0.46968,                 1.4389,                0.92818,                 1.3001,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1764,                0.70474,                 1.1065,                0.79575,                0.91667,                 0.8341,                0.46953,                 1.4391,                0.94251,                 1.2554,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1453,                0.72015,                 1.1111,                0.82853,                0.80542,                0.82064,                 0.4665,                 1.3935,                0.88487,                 1.2282,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1307,                0.70116,                 1.1264,                0.82962,                0.79167,                0.82082,                0.49051,                 1.3801,                0.96298,                 1.2461,               0.001109,               0.001109,               0.001109
                     47,                 1.0441,                0.64223,                  1.088,                0.83638,                0.85197,                 0.8745,                0.51996,                 1.4295,                 0.9136,                 1.2652,              0.0010892,              0.0010892,              0.0010892
